original_name,canonical_name,num_similar
BÖHM GMBH,BÖHM GMBH,1
BÖHME GMBH & CO. KG,BÖHME GMBH & CO. KG,1
BÖHMKE HEIZUNG UND SANITÄR GMBH,BÖHMKE HEIZUNG UND SANITÄR GMBH,1
BÖHNING HAUSTECHNIK E.K.,BÖHNING HAUSTECHNIK E.K.,1
BÖLKE HANDEL GMBH,BÖLKE HANDEL GMBH,1
BÖNING HORST GMBH,BÖNING HORST GMBH,1
BÖRNER & CO KG,BÖRNER & CO KG,1
BÖRNER BERND,BÖRNER BERND,1
"BÖRNER GMBH & CO, BAMBERG KG","BÖRNER GMBH & CO, BAMBERG KG",1
BÖRNER GMBH & CO. BAMBERG,BÖRNER GMBH & CO. BAMBERG,1
BÜCHNER WASSER WÄRME KLIMA GMBH,BÜCHNER WASSER WÄRME KLIMA GMBH,1
BÜNYAMIN SISMAN,BÜNYAMIN SISMAN,1
BÜÜRMA HAUSTECHNIK UND SERVICE GMBH,BÜÜRMA HAUSTECHNIK UND SERVICE GMBH,1
C. SCHRADE GMBH,C. SCHRADE GMBH,1
CAD IMMOBILIEN EGBR,CAD IMMOBILIEN EGBR,1
CAD ZEICHENBÜRO ERFURT,CAD ZEICHENBÜRO ERFURT,1
CAMPINGINSEL BAMBERG,CAMPINGINSEL BAMBERG,1
CARE IMMOBILIENGESELLSCHAFT MBH,CARE IMMOBILIENGESELLSCHAFT MBH,1
CARITAS-SENIORENZENTRUM ST. DAMIAN,CARITAS-SENIORENZENTRUM ST. DAMIAN,1
CARL OTTO STINGLWAGNER,CARL OTTO STINGLWAGNER,1
CARL PFEIFFER GMBH & CO KG,CARL PFEIFFER GMBH & CO KG,1
CARL SPAETER,CARL SPAETER,1
CARL SPAETER GMBH,CARL SPAETER GMBH,1
CARL SPAETER KUNSTSTOFFHANDEL GMBH,CARL SPAETER KUNSTSTOFFHANDEL GMBH,1
CARL-OLAF KRIEGER GMBH & CO.,CARL-OLAF KRIEGER GMBH & CO.,1
CARLO ELBERT,CARLO ELBERT,1
CARLO SCHMIDT,CARLO SCHMIDT,1
CARSTEN WELLER VERMIETUNG + VERPACHTUNG,CARSTEN WELLER VERMIETUNG + VERPACHTUNG,1
CAVAR SANITÄR & HEIZUNG,CAVAR SANITÄR & HEIZUNG,1
CAVERION DEUTSCHLAND GMBH,CAVERION DEUTSCHLAND GMBH,1
CEC BAU GMBH,CEC BAU GMBH,1
CECCO GMBH,CECCO GMBH,1
CEDRIC GOOS,CEDRIC GOOS,1
CELSEO SERVICE GMBH,CELSEO SERVICE GMBH,1
CERES IMMOBILIEN GMBH CO. KG,CERES IMMOBILIEN GMBH CO. KG,1
CHR. BALZER KG,CHR. BALZER KG,1
CHRIS SCHARF,CHRIS SCHARF,1
CHRISTAUD LAGNY,CHRISTAUD LAGNY,1
CHRISTIAN BUSCH,CHRISTIAN BUSCH,1
CHRISTIAN ELSNER,CHRISTIAN ELSNER,1
CHRISTIAN GMEINER,CHRISTIAN GMEINER,1
CHRISTIAN GÖRSDORF,CHRISTIAN GÖRSDORF,1
CHRISTIAN HELLWIG HEIZUNG SANITÄR SCHWIMMBADTECHNIK,CHRISTIAN HELLWIG HEIZUNG SANITÄR SCHWIMMBADTECHNIK,1
CHRISTIAN HILLIG,CHRISTIAN HILLIG,1
CHRISTIAN JACOBSEN,CHRISTIAN JACOBSEN,1
CHRISTIAN KOOP,CHRISTIAN KOOP,1
CHRISTIAN LEMKE,CHRISTIAN LEMKE,1
CHRISTIAN MÖLLER GMBH,CHRISTIAN MÖLLER GMBH,1
CHRISTIAN NOLDEN,CHRISTIAN NOLDEN,1
CHRISTIAN PARZEFALL,CHRISTIAN PARZEFALL,1
CHRISTIAN STAUSBERG GMBH,CHRISTIAN STAUSBERG GMBH,1
CHRISTOF FISCHER GMBH,CHRISTOF FISCHER GMBH,1
CHRISTOPH PROJEKTGES. MBH,CHRISTOPH PROJEKTGES. MBH,1
CHRISTOPH UFER GMBH,CHRISTOPH UFER GMBH,1
CHRISTOPH UNGER GMBH + CO.KG,CHRISTOPH UNGER GMBH + CO.KG,1
CHUBB DEUTSCHLAND GMBH,CHUBB DEUTSCHLAND GMBH,1
CL. BERGMANN GMBH & CO.KG,CL. BERGMANN GMBH & CO.KG,1
CLAGE GMBH,CLAGE GMBH,1
